name,target_rva,target_size,source,notes
??1Gen_dtor_006fe570@@UAE@XZ,0x006FD550,294,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007002d0@@UAE@XZ,0x00700260,79,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??0W3DMouse@@QAE@XZ,0x007003E0,233,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DGameClient_createMouse_Thunk.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00701e50@@UAE@XZ,0x00701240,188,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00702fc0@@UAE@XZ,0x00702E50,268,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
?adjustStacking@W3DRoadBuffer@@IAEXHH@Z,0x00704730,152,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp,reloc-derived;call-sites=1;identity=real
?updateCounts@W3DRoadBuffer@@IAEXPAVRoadSegment@@@Z,0x00705000,476,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp,reloc-derived;call-sites=1;identity=real
?loadRoadsHelper2@W3DRoadBuffer@@QAEXXZ,0x00705260,573,Code/GameEngine/Source/Common/promoted__loadRoads_W3DRoadBuffer_QAEXXZ_007105D0.cpp,reloc-derived;call-sites=1;identity=real
?loadRoadsHelper0@W3DRoadBuffer@@QAEXXZ,0x00706E60,208,Code/GameEngine/Source/Common/promoted__loadRoads_W3DRoadBuffer_QAEXXZ_007105D0.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtorv_00707e60@@UAE@XZ,0x007070C0,131,Code/gen_small/dtorsv_000.cpp,reloc-derived;call-sites=1;identity=generated
?loadFloat4PtSection@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@11PAV3@MMMM@Z,0x00708320,3687,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp,reloc-derived;call-sites=6;identity=real
?insertTee@W3DRoadBuffer@@IAEXVVector2@@HM@Z,0x0070BC00,2625,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp,reloc-derived;call-sites=2;identity=real
?loadRoadsHelper4@W3DRoadBuffer@@QAEXXZ,0x0070F970,306,Code/GameEngine/Source/Common/promoted__loadRoads_W3DRoadBuffer_QAEXXZ_007105D0.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_006c5cb0@@UAE@XZ,0x0070FAF0,101,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
?loadRoadsHelper1@W3DRoadBuffer@@QAEXXZ,0x007100C0,1016,Code/GameEngine/Source/Common/promoted__loadRoads_W3DRoadBuffer_QAEXXZ_007105D0.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_00712100@@UAE@XZ,0x00711B20,11,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007158c0@@UAE@XZ,0x00713510,497,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
?startRenderToTexture@W3DShaderManager@@SAXXZ,0x007171F0,445,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DShaderManager.cpp,reloc-derived;call-sites=3;identity=real
?_M_insert_overflow@?$vector@UGen_t_00719c80_p12pod@@V?$allocator@UGen_t_00719c80_p12pod@@@_STL@@@_STL@@IAEXPAUGen_t_00719c80_p12pod@@ABU3@ABU__false_type@2@I_N@Z,0x00719AF0,314,Code/gen_small/tgrid_135.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_006c5d40@@UAE@XZ,0x0071B3D0,170,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007207f0@@UAE@XZ,0x007206E0,195,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_00722ba0@@UAE@XZ,0x007225D0,79,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_007255d0@@UAE@XZ,0x00723F30,96,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
??1Gen_dtor_006c5d70@@UAE@XZ,0x00727380,167,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
?isCliffMappedTexture@WorldHeightMap@@QAE_NHH@Z,0x00728250,61,Code/GameEngineDevice/Source/W3DDevice/GameClient/WorldHeightMap.cpp,reloc-derived;call-sites=1;identity=real
?freeTerrainBuffers@W3DTerrainBackground@@IAEXXZ,0x007286F0,97,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DTerrainBackgroundAllocateThunk.cpp,reloc-derived;call-sites=1;identity=real
?shutdown@TerrainTracksRenderObjClassSystem@@QAEXXZ,0x0072EDF0,142,Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DTerrainTracks.cpp,reloc-derived;call-sites=1;identity=real
??1Gen_dtor_0072f1a0@@UAE@XZ,0x0072F110,109,Code/gen_small/dtors_008.cpp,reloc-derived;call-sites=1;identity=generated
