target_rva,size,literal,reference_source,candidate_function,port
0x0009E130,534,SkirmishStats.ini,GameEngine/Source/Common/SkirmishBattleHonors.cpp,SkirmishBattleHonors,
0x004CE980,510,LanLobbyFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp,LanLobbyMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp
0x00623BC0,502,%s:%s%d,GameEngine/Source/GameNetwork/GUIUtil.cpp,AreSlotListUpdatesEnabled,
0x0050AA52,489,WOLQuickMatchMenu.wnd:WOLQuickMatchMenuParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp,WOLQuickMatchMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp
0x004E9590,471,SinglePlayerMenu.wnd:SinglePlayerMenuParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SinglePlayerMenu.cpp,SinglePlayerMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SinglePlayerMenu.cpp
0x004D1120,471,MapSelectMenu.wnd:MapSelectMenuParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/MapSelectMenu.cpp,SetDifficultyRadioButton,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/MapSelectMenu.cpp
0x008659C0,469,b_flags,GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp,roomKeyChangedCallback,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp
0x00511CC0,450,Chat:Everyone,GameEngine/Source/GameClient/GUI/GUICallbacks/InGameChat.cpp,SetInGameChatType,
0x002CEA90,446,DOCKWAITING07,GameEngine/Source/GameLogic/Object/Update/DockUpdate/RailedTransportDockUpdate.cpp,RailedTransportDockUpdate::doPushOutDocking,Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/RailedTransportDockUpdate.cpp
0x004E98E0,443,SinglePlayerMenu.wnd:ButtonNew,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SinglePlayerMenu.cpp,SinglePlayerMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SinglePlayerMenu.cpp
0x000B1360,442,DefaultDialog,GameEngine/Source/Common/INI/INIAudioEventInfo.cpp,INI::parseDialogDefinition,
0x006032F0,438,BeaconSmoke%6.6X,GameEngine/Source/GameClient/Drawable/Update/BeaconClientUpdate.cpp,createParticleSystem,Code/GameEngine/Source/GameClient/Drawable/Update/BeaconClientUpdate.cpp
0x000B1B70,438,DefaultMusicTrack,GameEngine/Source/Common/INI/INIAudioEventInfo.cpp,INI::parseMusicTrackDefinition,
0x004A3830,416,ControlBar.wnd:StaticTextBeaconLabel,GameEngine/Source/GameClient/GUI/ControlBar/ControlBarBeacon.cpp,ControlBar::populateBeacon,
0x0052D8F0,413,addIgnore,GameEngine/Source/GameNetwork/GameSpyChat.cpp,handleSlashCommands,
0x0064AA70,401,b_locale,GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp,GameSpyPeerMessageQueueInterface::createNewMessageQueue,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp
0x006239C0,400,Team:0,GameEngine/Source/GameNetwork/GUIUtil.cpp,PopulateTeamComboBox,
0x00397350,390,RallyPointSet,GameEngine/Source/GameLogic/System/GameLogicDispatch.cpp,doSetRallyPoint,Code/GameEngine/Source/GameLogic/System/GameLogicDispatch.cpp
0x0050AE10,389,WOLStatusMenu.wnd:WOLStatusMenuParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLStatusMenu.cpp,WOLStatusMenuInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLStatusMenu.cpp
0x006718A0,388,PORT%d %d %08X,GameEngine/Source/GameNetwork/NAT.cpp,NAT::sendMangledPortNumberToTarget,Code/GameEngine/Source/GameNetwork/nat.cpp
0x005351C0,384,GUI:LobbyJoined,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLobbyMenu.cpp,WOLLobbyMenuUpdate,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLobbyMenu.cpp
0x004605F0,381,_frame=,Libraries/Source/WWVegas/WW3D2/mapper.cpp,GridTextureMapperClass::update_temporal_state,Code/Libraries/Source/WWVegas/WW3D2/mapper.cpp
0x00671100,374,PROBED%d,GameEngine/Source/GameNetwork/NAT.cpp,NAT::notifyTargetOfProbe,Code/GameEngine/Source/GameNetwork/nat.cpp
0x005050C0,372,WOLQMScoreScreen.wnd:WOLQMScoreScreenParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQMScoreScreen.cpp,WOLQMScoreScreenInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQMScoreScreen.cpp
0x004F0520,372,WOLCustomScoreScreen.wnd:WOLCustomScoreScreenParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLCustomScoreScreen.cpp,WOLCustomScoreScreenInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLCustomScoreScreen.cpp
0x000A29E0,368,_%b%d_%I%M%p,GameEngine/Source/Common/StatsCollector.cpp,StatsCollector::createFileName,
0x005531D0,360,lastEmail,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp,GameSpyLoginPreferences::write,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLLoginMenu.cpp
0x0033E9A0,360,Run script - ,GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,_appendMessage,
0x003A0DA0,356,Rank not found in map.ini,GameEngine/Source/GameLogic/System/RankInfo.cpp,RankInfoStore::friend_parseRankDefinition,Code/GameEngine/Source/GameLogic/System/RankInfo.cpp
0x004C4630,346,Diplomacy.wnd:ListboxSolo,GameEngine/Source/GameClient/GUI/GUICallbacks/Diplomacy.cpp,UpdateDiplomacyBriefingText,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Diplomacy.cpp
0x006B1B40,332,Mono Delay Time,GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp,MilesAudioManager::initFilters,Code/GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp
0x008D30D0,326,onPress,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp,processLoadButtonPress,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp
0x004CFF40,324,LanLobbyFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp,LanLobbyMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp
0x004E08D0,323,GUI:PleaseSelectAFile,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp,reallyLoadReplay,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp
0x00846F10,315,%H:%M:%S,GameEngineDevice/Source/W3DDevice/GameClient/GUI/GUICallbacks/W3DMainMenu.cpp,W3DClockDraw,Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/GUICallbacks/W3DMainMenu.cpp
0x006B0630,299,Dolby Surround,GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp,MilesAudioManager::selectProvider,Code/GameEngineDevice/Source/MilesAudioDevice/MilesAudioManager.cpp
0x004DF9C0,297,SaveLoadMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp,SaveLoadMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/PopupSaveLoad.cpp
0x004577C0,288,MapCache.ini,GameEngine/Source/GameClient/MapUtil.cpp,WaypointMap::update,Code/GameEngine/Source/GameClient/MapUtil.cpp
0x0040CC40,279,<BLANK>,GameEngine/Source/GameClient/Credits.cpp,CreditsManager::getUnicodeString,Code/GameEngine/Source/GameClient/Credits.cpp
0x004E2410,277,ReplayMenuFade,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp,ReplayMenuShutdown,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ReplayMenu.cpp
0x00504E10,272,WOLMessageWindow.wnd:WOLMessageWindowParent,GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLMessageWindow.cpp,WOLMessageWindowInit,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLMessageWindow.cpp
0x00340B80,272,DebugWindow.dll,GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp,ScriptEngine::init,
0x001901F0,262,Noise0000.tga,GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp,WaterRenderObjClass::init,Code/GameEngineDevice/Source/W3DDevice/GameClient/Water/W3DWater.cpp
