twin_rva,size,source,object_symbol,slot_state
0x008FA3C0,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008FA3F0,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x008FA420,38,Code/GameEngine/Source/Common/VectorIntegerInsertOverflowThunk.cpp,??$__copy_backward_ptrs@PAHPAH@_STL@@YAPAHPAH00ABU__true_type@0@@Z,unclaimed
0x008FE8C0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x008FE960,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x008FEEC0,56,Code/GameEngine/Source/Common/StateMachine.cpp,??$_M_find@I@?$_Rb_tree@IU?$pair@$$CBIPAVState@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVState@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVState@@@_STL@@@2@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBIPAVState@@@_STL@@@1@ABI@Z,unclaimed
0x009036F0,25,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint3D@H@@QAE@HHH@Z,unclaimed
0x0090C780,41,Code/GameEngine/Source/Common/Audio/GameAudio.cpp,?__copy_trivial@_STL@@YAPAXPBX0PAX@Z,unclaimed
0x00918860,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x00918870,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x009188A0,10,Code/GameEngine/Source/Common/VirtualSlot5CallThunk.cpp,?setValue@Offset24IntegerSetterThunk@@QAEXH@Z,unclaimed
0x009188B0,10,Code/GameEngine/Source/GameNetwork/NetCommandMsg.cpp,?setDataOffset@NetWrapperCommandMsg@@QAEXI@Z,unclaimed
0x009189B0,10,Code/GameEngine/Source/Common/ConditionalPointerStoreThunk.cpp,?assignSecond@ConditionalPointerStoreThunk@@QAEXPAX@Z,unclaimed
0x009189C0,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x009189F0,10,Code/GameEngine/Source/Common/VirtualSlot5CallThunk.cpp,?setValue@Offset24IntegerSetterThunk@@QAEXH@Z,unclaimed
0x00923BC0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x00923CA0,25,Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp,??0CollisionTestClass@@QAE@ABV0@@Z,unclaimed
0x00923CE0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x00924320,25,Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp,??0CollisionTestClass@@QAE@ABV0@@Z,unclaimed
0x009264B0,18,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??0?$TPoint2D@H@@QAE@HH@Z,unclaimed
0x0092C890,25,Code/Libraries/Source/WWVegas/WW3D2/mesh.cpp,??0CollisionTestClass@@QAE@ABV0@@Z,unclaimed
0x0092C8F0,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x0092EF90,16,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??8NodeElement@?$IndexClass@HPAUINIEntry@@@@QBE_NABU01@@Z,unclaimed
0x00938D20,22,Code/Libraries/Source/WWVegas/WW3D2/dynamesh.cpp,??9ShaderClass@@QAE_NABV0@@Z,unclaimed
0x0093C980,13,Code/GameEngine/Source/Common/OneWordCopyThunk.cpp,?copyFrom@OneWordCopyThunk@@QAEPAU1@PBU1@@Z,unclaimed
0x0093CFC0,16,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,??8NodeElement@?$IndexClass@HPAUINIEntry@@@@QBE_NABU01@@Z,unclaimed
0x0093CFD0,22,Code/Libraries/Source/WWVegas/WW3D2/dynamesh.cpp,??9ShaderClass@@QAE_NABV0@@Z,unclaimed
0x00944B50,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x00944B90,10,Code/GameEngine/Source/Common/GameEngine.cpp,?setFramesPerSecondLimit@GameEngine@@UAEXH@Z,unclaimed
0x00944E00,17,Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp,?Get_Head@?$MultiListClass@VDX8PolygonRendererClass@@@@QAEPAVDX8PolygonRendererClass@@XZ,unclaimed
0x00945420,10,Code/GameEngine/Source/GameNetwork/NetCommandMsg.cpp,?setDataOffset@NetWrapperCommandMsg@@QAEXI@Z,unclaimed
0x00945480,8,Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp,?Clear_Render_List@DX8TextureCategoryClass@@QAEXXZ,unclaimed
